locus	name	refseq	ncbi_taxid	strain	genus	supergroup
N/A	 Non-ribosomal peptide synthetase modules and related proteins-like protein	ABI68394.1	335541	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Syntrophomonas	Clostridia	335541.Swol_1084	ENOG4105CEY	IQ	Amp-dependent synthetase and ligase
N/A	 DNA polymerase III, beta subunit"	EDM62960.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_01547	ENOG4105CZ8	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)
N/A	 ribosomal protein L34	EDM62962.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_01549	ENOG4105VG0	J	50S ribosomal protein l34
N/A	 ribosomal protein L31	EDM63160.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_01479	ENOG41082DI	J	50s ribosomal protein l31
N/A	 hypothetical protein DORLON_01270	EDM63259.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_01270	ENOG4105MA9	S	NA
N/A	 Sigma-70 region 2	EDM63558.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_01224	ENOG4105KD4	K	RNA Polymerase
N/A	 hypothetical protein DORLON_00959	EDM63675.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_00959	ENOG4105D8H	S	NA
N/A	 DNA ligase (NAD+)	EDM63920.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_00597	ENOG4105C77	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)
N/A	 glycosyl hydrolase, family 43"	EDM64207.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_00044	ENOG4105CUK	G	Alpha-N-arabinofuranosidase (EC 3.2.1.55)
N/A	 hypothetical protein DORLON_00168	EDM64322.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_00168	ENOG4108ZKN	S	HTH_XRE
N/A	 hypothetical protein DORLON_00405	EDM64556.1	411462	Dorea longicatena DSM 13814	Dorea	Lachnospiraceae	411462.DORLON_00405	ENOG4105ZTF	S	Membrane Spanning Protein
N/A	 CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit"	EDM85374.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_04048	ENOG4105E8X	C	CO dehydrogenase acetyl-CoA synthase complex beta subunit
N/A	 hypothetical protein RUMOBE_03340	EDM86101.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_03340	ENOG4107UU7	D	regulatory protein
N/A	 ribosomal protein L29	EDM86173.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_03279	ENOG41082SA	J	50s ribosomal protein l29
N/A	 Formiminotransferase-cyclodeaminase	EDM86262.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_03220	ENOG410908R	E	Methenyltetrahydrofolate cyclohydrolase
N/A	 hypothetical protein RUMOBE_02590	EDM86687.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_02590	ENOG41072YN	S	NA
N/A	 hypothetical protein RUMOBE_02439	EDM87028.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_02439	ENOG41064FP	S	NA
N/A	 ABC transporter, permease protein"	EDM87157.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_02331	ENOG4105EX2	P	Binding-protein-dependent transport systems, inner membrane component
N/A	 alpha amylase, catalytic domain protein"	EDM87271.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_02176	ENOG4107QW3	G	Sucrose phosphorylase
N/A	 diguanylate cyclase (GGDEF) domain protein	EDM87393.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_01959	ENOG4108K02	T	diguanylate cyclase (ggdef)
N/A	 hypothetical protein RUMOBE_02030	EDM87464.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_02030	ENOG4105KRC	S	NA
N/A	 rSAM-modified six-cysteine peptide	EDM88440.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00561	ENOG41067TY	S	RSAM-modified six-cysteine peptide
N/A	 hypothetical protein RUMOBE_00941	EDM88820.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00941	ENOG4105XDK	S	NA
N/A	 BMC domain protein	EDM88968.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00091	ENOG4105KNY	E	Microcompartments protein
N/A	 ABC transporter, permease protein"	EDM89117.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00240	ENOG4105E5Q	E	amino acid AbC transporter
N/A	 ABC transporter, ATP-binding protein"	EDM89141.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00264	ENOG4105C2J	P	ABC transporter
N/A	 electron transport complex, RnfABCDGE type, C subunit"	EDM89214.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00337	ENOG4107QTR	C	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)
N/A	 hypothetical protein RUMOBE_00417	EDM89294.1	411459	Blautia obeum ATCC 29174	Blautia	Lachnospiraceae	411459.RUMOBE_00417	ENOG4105DDS	S	NA
N/A	 putative cell wall binding repeat-containing protein	ABR35533.1	290402	Clostridium beijerinckii NCIMB 8052	Clostridium	Clostridiaceae	290402.Cbei_3407	ENOG4105CX7	N	Alpha-L-fucosidase
N/A	 transposase related protein (20)	ABR35576.1	290402	Clostridium beijerinckii NCIMB 8052	Clostridium	Clostridiaceae	290402.Cbei_3451	ENOG4105GR1	L	transposase
N/A	 polyA polymerase related protein (HD hydrolase) and P-loop ATP-ase domain	ABR36476.1	290402	Clostridium beijerinckii NCIMB 8052	Clostridium	Clostridiaceae	290402.Cbei_4366	ENOG4105E97	J	Metal dependent phosphohydrolase
N/A	 putative outer membrane protein, probably involved in nutrient binding"	ABR38641.1	435590	Bacteroides vulgatus ATCC 8482	Bacteroides	Bacteroidaceae	435590.BVU_0946	ENOG4105C27	P	TonB-dependent Receptor Plug
N/A	 hypothetical protein BDI_2794	ABR44507.1	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides	Porphyromonadaceae	435591.BDI_2794	ENOG4106ZDV	S	NA
N/A	 conserved hypothetical protein	ABR44663.1	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides	Porphyromonadaceae	435591.BDI_2955	ENOG4108GYP	S	domain protein
N/A	 transcriptional regulator, XRE family"	ABR46978.1	293826	Alkaliphilus metalliredigens QYMF	Alkaliphilus	Clostridiaceae	293826.Amet_0753	ENOG4107JSJ	K	HTH_XRE
N/A	 DNA methylase N-4/N-6 domain protein	ABR48734.1	293826	Alkaliphilus metalliredigens QYMF	Alkaliphilus	Clostridiaceae	293826.Amet_2582	ENOG4107RMW	L	DNA Methylase
N/A	 NLP/P60 protein	ABR49400.1	293826	Alkaliphilus metalliredigens QYMF	Alkaliphilus	Clostridiaceae	293826.Amet_3262	ENOG4105K4H	M	Nlp p60 protein
N/A	 hypothetical protein Amet_3897	ABR49995.1	293826	Alkaliphilus metalliredigens QYMF	Alkaliphilus	Clostridiaceae	293826.Amet_3897	ENOG4108TPQ	S	NA
N/A	 hypothetical protein Amet_4084	ABR50166.1	293826	Alkaliphilus metalliredigens QYMF	Alkaliphilus	Clostridiaceae	293826.Amet_4084	ENOG4106BWY	S	NA
